"gs_name","gs_description"
"ABBUD_LIF_SIGNALING_1_DN","Genes down-regulated in AtT20 cells (pituitary cancer) after  treatment with LIF [GeneID=3976]."
"ABBUD_LIF_SIGNALING_1_UP","Genes up-regulated in AtT20 cells (pituitary cancer) after  treatment with LIF [GeneID=3976]."
"ABBUD_LIF_SIGNALING_2_DN","Genes down-regulated in GH3 cells (pituitary cancer) after treatment with LIF [GeneID=3976]."
"ABBUD_LIF_SIGNALING_2_UP","Genes up-regulated in GH3 cells (pituitary cancer) after treatment with LIF [GeneID=3976]."
"ABDELMOHSEN_ELAVL4_TARGETS","Major ELAVL4 [GeneID=1996] associated mRNAs encoding proteins with functions in neuronal physiology."
"ABDULRAHMAN_KIDNEY_CANCER_VHL_DN","Genes down-regulated in the RCC4 cells (renal cell carcinoma, RCC) expressing VHL [GeneID=7428] mutants Type 1 and 2B (associated with RCC) but not those of Type 2A and 2C (not associated with RCC)."
"ABE_INNER_EAR","Genes prefentially expressed in human inner ear tissue (cochlea and vestibule), at least 10-fold higher from a mixture of 29 other tissues."
"ABE_VEGFA_TARGETS","Genes most profoundly induced in HUVEC cells (endothelium) by VEGFA [GeneID=7422]."
"ABE_VEGFA_TARGETS_2HR","Genes up-regulated in HUVEC cells (endothelium) at 2 h after VEGFA [GeneID=7422] stimulation."
"ABE_VEGFA_TARGETS_30MIN","Genes up-regulated in HUVEC cells (endothelium) at 30 min after VEGFA [GeneID=7422] stimulation."
"ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN","Genes down-regulated in immunoglobulin light chain amyloidosis plasma cells (ALPC) compared to multiple myeloma (MM) cells."
"ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP","Genes up-regulated in immunoglobulin light chain amyloidosis plasma cells (ALPC) compared to multiple myeloma (MM) cells."
"ABRAMSON_INTERACT_WITH_AIRE","Proteins interacting with AIRE [GeneID=326], based on massspectroscopy analysis of co-immunoprecipitates in 293T cells (embryonic kidney)."
"ACEVEDO_LIVER_CANCER_DN","Genes down-regulated in hepatocellular carcinoma (HCC) compared to normal liver samples."
"ACEVEDO_LIVER_CANCER_UP","Genes up-regulated in hepatocellular carcinoma (HCC) compared to normal liver samples."
"ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN","Genes whose promoters display lower levels of histone H3 trimethylation mark at K27 (H3K27me3) in hepatocellular carcinoma (HCC) compared to normal liver."
"ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP","Genes whose promoters display higher levels of histone H3 trimethylation mark at K27 (H3K27me3) in hepatocellular carcinoma (HCC) compared to normal liver."
"ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN","Genes whose promoters display lower histone H3 trimethylation mark at K9 (H3K9me3) in hepatocellular carcinoma (HCC) compared to normal liver."
"ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP","Genes whose promoters display higher histone H3 trimethylation mark at K9 (H3K9me3) in hepatocellular carcinoma (HCC) compared to normal liver."
"ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN","Genes down-regulated in liver tumor compared to the normal adjacent tissue."
