Gene,Type
TNNT2,cardiomyocyte
RYR2,cardiomyocyte
TNNT1,cardiomyocyte
MYOM3,cardiomyocyte
MYLK3,cardiomyocyte 
CAMK2B,cardiomyocyte
TBX5,cardiomyocyte
SCARA5,fibroblast
MEG3,fibroblast
COL15A1,fibroblast
CD163,macrophages
CD86,macrophages
HCK,macrophages
PECAM1,endothelial
VWF,endothelial
EMCN,endothelial
NOTCH3,pericyte
RGS5,pericyte
ABCC9,pericyte
COX4I2,pericyte
PTPRC,T-cells
CD247,T-cells
PRKCQ,T-cells
RELN,lymphatic_endo
FTL4,lymphatic_endo
TBX1,lymphatic_endo
PROX1,lymphatic_endo
NRXN1,neuronal
SOX10,neuronal
ADIPOQ,adipocytes
PLIN1,adipocytes
FASN,adipocytes
TUSC5,adipocytes
KIT,mast_cells
CPA3,mast_cells
SLC38A11,mast_cells
SLC8A3,mast_cells
MYH11,vSMCs
LMOD,vSMCs
TAGLN,vSMCs
ACTA2,vSMCs
FOS,unknown
